Test Case ID,Module,Test Scenario,Test Steps,Test Data,Expected Result,Actual Result,Status,Remarks
TC11,Đăng ký,Kiểm tra Password dưới 8 ký tự không hợp lệ,1. Mở màn hình đăng ký\n2. Nhập Password dưới 8 ký tự\n3. Nhấn 'Sign Up',Password: 'pass123',Hiển thị biểu tượng lỗi '!' màu đỏ bên phải trường Password,,,
TC12,Đăng ký,Kiểm tra Password từ 8 ký tự trở lên hợp lệ,1. Mở màn hình đăng ký\n2. Nhập Password từ 8 ký tự trở lên\n3. Nhấn 'Sign Up',Password: 'password123',"Không hiển thị lỗi, Password được chấp nhận",,,
TC13,Đăng ký,Kiểm tra đăng ký thành công với dữ liệu hợp lệ,1. Mở màn hình đăng ký\n2. Nhập đầy đủ các trường hợp lệ\n3. Nhấn 'Sign Up',"First Name: John, Surname: Doe, Day: 1, Month: January, Year: 1990, Gender: Male, Mobile/Email: john@example.com, Password: password123",Hiển thị SnackBar với thông báo 'Account created successfully!',,,
TC14,Đăng ký,Kiểm tra nút 'Already have an account?',1. Mở màn hình đăng ký\n2. Nhấn vào liên kết 'Already have an account?',Không có dữ liệu,Hiển thị SnackBar với thông báo 'Redirecting to login...',,,
TC15,Đăng ký,Kiểm tra giao diện responsive trên các kích thước màn hình,1. Mở ứng dụng trên các thiết bị có kích thước màn hình khác nhau\n2. Quan sát bố cục giao diện,"Kích thước màn hình: 320x480, 720x1280, 1080x1920","Giao diện hiển thị đúng, không bị cắt xén, các thành phần căn chỉnh chính xác",,,
TC16,Đăng ký,Kiểm tra nhập email không hợp lệ,1. Mở màn hình đăng ký\n2. Nhập email không hợp lệ\n3. Nhấn 'Sign Up',Mobile/Email: 'invalid_email',Hiển thị biểu tượng lỗi '!' màu đỏ bên phải trường Mobile number or email,,,Kiểm tra định dạng email
TC17,Đăng ký,Kiểm tra nhập số điện thoại không hợp lệ,1. Mở màn hình đăng ký\n2. Nhập số điện thoại không hợp lệ\n3. Nhấn 'Sign Up',Mobile/Email: '123',Hiển thị biểu tượng lỗi '!' màu đỏ bên phải trường Mobile number or email,,,Kiểm tra định dạng số điện thoại
TC18,Đăng ký,Kiểm tra văn bản điều khoản và chính sách,1. Mở màn hình đăng ký\n2. Quan sát văn bản điều khoản và chính sách,Không có dữ liệu,"Hiển thị văn bản: 'By clicking Sign Up, you agree to our Terms, Privacy Policy and Cookies Policy.' với các liên kết màu xanh dương",,,
TC19,Đăng ký,Kiểm tra trường First Name với ký tự đặc biệt,1. Mở màn hình đăng ký\n2. Nhập ký tự đặc biệt vào First Name\n3. Nhấn 'Sign Up',First Name: '@John#',"Không hiển thị lỗi (theo code hiện tại, không có kiểm tra ký tự đặc biệt)",,,Kiểm tra nếu cần thêm validation cho ký tự đặc biệt
TC20,Đăng ký,Kiểm tra trường Surname với ký tự đặc biệt,1. Mở màn hình đăng ký\n2. Nhập ký tự đặc biệt vào Surname\n3. Nhấn 'Sign Up',Surname: '@Doe#',"Không hiển thị lỗi (theo code hiện tại, không có kiểm tra ký tự đặc biệt)",,,Kiểm tra nếu cần thêm validation cho ký tự đặc biệt
TC21,Đăng ký,Kiểm tra trường First Name với độ dài tối đa,1. Mở màn hình đăng ký\n2. Nhập First Name với chuỗi rất dài\n3. Nhấn 'Sign Up',First Name: 'ThisIsAVeryLongFirstNameExceedingNormalLength1234567890',"Form vẫn chấp nhận, không hiển thị lỗi (theo code hiện tại, không giới hạn độ dài)",,,Kiểm tra nếu cần thêm giới hạn độ dài
TC22,Đăng ký,Kiểm tra trường Password với ký tự đặc biệt,1. Mở màn hình đăng ký\n2. Nhập Password với ký tự đặc biệt\n3. Nhấn 'Sign Up',Password: 'P@ssw0rd!123',"Không hiển thị lỗi, Password được chấp nhận nếu từ 8 ký tự trở lên",,,
TC23,Đăng ký,Kiểm tra focus trên trường First Name,1. Mở màn hình đăng ký\n2. Nhấn vào trường First Name\n3. Chuyển focus ra ngoài,Không có dữ liệu,"Viền trường First Name chuyển sang màu xanh dương khi focus, màu xám hoặc đỏ (nếu lỗi) khi mất focus",,,
TC24,Đăng ký,Kiểm tra dropdown Date of Birth hiển thị đầy đủ,"1. Mở màn hình đăng ký\n2. Nhấn vào dropdown Day, Month, Year\n3. Quan sát danh sách",Không có dữ liệu,"Dropdown hiển thị đầy đủ: 31 ngày, 12 tháng, năm từ 1900 đến 2025",,,
TC25,Đăng ký,Kiểm tra nút Sign Up bị vô hiệu hóa khi form không hợp lệ,1. Mở màn hình đăng ký\n2. Để trống ít nhất một trường bắt buộc\n3. Quan sát nút 'Sign Up',First Name: (rỗng),"Nút 'Sign Up' vẫn cho phép nhấn nhưng không tạo tài khoản, hiển thị lỗi ở các trường trống",,,"Theo code, cần kiểm tra nếu muốn vô hiệu hóa nút"
TC26,Đăng ký,Kiểm tra định dạng email hợp lệ,1. Mở màn hình đăng ký\n2. Nhập email hợp lệ\n3. Nhấn 'Sign Up',Mobile/Email: 'test.user@example.com',"Không hiển thị lỗi, email được chấp nhận",,,
TC27,Đăng ký,Kiểm tra định dạng số điện thoại hợp lệ,1. Mở màn hình đăng ký\n2. Nhập số điện thoại hợp lệ\n3. Nhấn 'Sign Up',Mobile/Email: '+84912345678',"Không hiển thị lỗi, số điện thoại được chấp nhận",,,"Theo code hiện tại, cần thêm validation cho định dạng số điện thoại"
TC28,Đăng ký,Kiểm tra nhập khoảng trắng vào First Name,1. Mở màn hình đăng ký\n2. Nhập khoảng trắng vào First Name\n3. Nhấn 'Sign Up',First Name: '   ',Hiển thị biểu tượng lỗi '!' màu đỏ bên phải trường First Name,,,
TC29,Đăng ký,Kiểm tra nhập ký tự Unicode vào Surname,1. Mở màn hình đăng ký\n2. Nhập ký tự Unicode vào Surname\n3. Nhấn 'Sign Up',Surname: 'Nguyễn Văn',"Không hiển thị lỗi (theo code hiện tại, không có kiểm tra ký tự Unicode)",,,Kiểm tra nếu cần thêm validation cho ký tự Unicode
TC30,Đăng ký,Kiểm tra chọn ngày không hợp lệ trong Date of Birth,1. Mở màn hình đăng ký\n2. Chọn ngày 31 cho tháng February\n3. Nhấn 'Sign Up',"Day: 31, Month: February, Year: 2000","Hiển thị lỗi hoặc không cho phép chọn ngày không hợp lệ (theo code hiện tại, cần kiểm tra logic xử lý)",,,Cần xác nhận hành vi ứng dụng
TC31,Đăng ký,Kiểm tra nhập liệu nhanh vào trường Password,1. Mở màn hình đăng ký\n2. Nhập Password nhanh với nhiều ký tự\n3. Mất focus khỏi trường Password,Password: 'password123!@#',"Hiển thị lỗi nếu dưới 8 ký tự, không hiển thị lỗi nếu hợp lệ, giao diện phản hồi mượt mà",,,Kiểm tra hiệu năng nhập liệu
TC32,Đăng ký,Kiểm tra chuyển đổi giữa các tùy chọn Gender,"1. Mở màn hình đăng ký\n2. Chọn Female, sau đó chuyển sang Male, rồi Custom\n3. Nhấn 'Sign Up'",Gender: Custom,"Giá trị Gender được cập nhật đúng, không hiển thị lỗi",,,
TC33,Đăng ký,Kiểm tra trường Mobile/Email với chuỗi dài bất thường,1. Mở màn hình đăng ký\n2. Nhập chuỗi rất dài vào Mobile/Email\n3. Nhấn 'Sign Up',Mobile/Email: 'thisisaverylongemailaddress1234567890@example.com',"Form vẫn chấp nhận, không hiển thị lỗi (theo code hiện tại, không giới hạn độ dài)",,,Kiểm tra nếu cần thêm giới hạn độ dài
TC34,Đăng ký,Kiểm tra hiệu ứng focus trên trường Mobile/Email,1. Mở màn hình đăng ký\n2. Nhấn vào trường Mobile/Email\n3. Chuyển focus ra ngoài,Không có dữ liệu,"Viền trường Mobile/Email chuyển sang màu xanh dương khi focus, màu xám hoặc đỏ (nếu lỗi) khi mất focus",,,
TC35,Đăng ký,Kiểm tra lặp lại hành động nhấn 'Sign Up' nhiều lần,1. Mở màn hình đăng ký\n2. Nhập dữ liệu hợp lệ\n3. Nhấn 'Sign Up' nhiều lần liên tiếp,"First Name: John, Surname: Doe, Day: 1, Month: January, Year: 1990, Gender: Male, Mobile/Email: john@example.com, Password: password123","Hiển thị SnackBar 'Account created successfully!' chỉ một lần, không bị lặp lại hoặc lỗi giao diện",,,Kiểm tra xử lý hành vi lặp
TC36,Đăng ký,Kiểm tra nhập email với ký tự Unicode,1. Mở màn hình đăng ký\n2. Nhập email chứa ký tự Unicode\n3. Nhấn 'Sign Up',Mobile/Email: 'tést.user@exâmple.com',"Không hiển thị lỗi (theo code hiện tại, không có kiểm tra ký tự Unicode trong email)",,,Kiểm tra nếu cần thêm validation cho ký tự Unicode
TC37,Đăng ký,Kiểm tra số điện thoại với mã quốc gia không hợp lệ,1. Mở màn hình đăng ký\n2. Nhập số điện thoại với mã quốc gia không hợp lệ\n3. Nhấn 'Sign Up',Mobile/Email: '+99912345678',"Hiển thị biểu tượng lỗi '!' màu đỏ bên phải trường Mobile/Email (theo code hiện tại, cần kiểm tra logic validation)",,,Cần thêm validation cho mã quốc gia
TC38,Đăng ký,Kiểm tra nhập khoảng trắng vào Password,1. Mở màn hình đăng ký\n2. Nhập khoảng trắng vào Password\n3. Nhấn 'Sign Up',Password: '        ',Hiển thị biểu tượng lỗi '!' màu đỏ bên phải trường Password (do dưới 8 ký tự),,,
TC39,Đăng ký,Kiểm tra nhập chuỗi dài bất thường vào Password,1. Mở màn hình đăng ký\n2. Nhập chuỗi rất dài vào Password\n3. Nhấn 'Sign Up',Password: 'ThisIsAVeryLongPassword1234567890ThisIsAVeryLongPassword1234567890',"Không hiển thị lỗi nếu chuỗi từ 8 ký tự trở lên, form chấp nhận (theo code hiện tại, không giới hạn độ dài tối đa)",,,Kiểm tra nếu cần giới hạn độ dài Password
TC40,Đăng ký,Kiểm tra cuộn giao diện trên thiết bị nhỏ,1. Mở ứng dụng trên thiết bị màn hình nhỏ\n2. Cuộn lên/xuống màn hình đăng ký\n3. Quan sát hành vi giao diện,Kích thước màn hình: 320x480,"Giao diện cuộn mượt mà, tất cả trường nhập liệu và nút 'Sign Up' đều hiển thị đầy đủ, không bị che khuất",,,
TC41,Đăng ký,Kiểm tra hành vi khi nhấn liên tục vào Gender options,"1. Mở màn hình đăng ký\n2. Nhấn nhanh liên tục vào các tùy chọn Gender (Female, Male, Custom)\n3. Nhấn 'Sign Up'",Gender: Custom,"Giá trị Gender cuối cùng được chọn được lưu, không gây lỗi giao diện hoặc crash",,,Kiểm tra hiệu năng xử lý sự kiện
TC42,Đăng ký,Kiểm tra trường Date of Birth với năm tương lai,1. Mở màn hình đăng ký\n2. Chọn năm lớn hơn năm hiện tại\n3. Nhấn 'Sign Up',"Day: 1, Month: January, Year: 2026","Hiển thị thông báo lỗi 'Must be at least 13 years old.' hoặc không cho phép chọn (theo code hiện tại, cần kiểm tra logic)",,,Cần xác nhận hành vi ứng dụng
TC43,Đăng ký,Kiểm tra nhập ký tự điều khiển vào First Name,"1. Mở màn hình đăng ký\n2. Nhập ký tự điều khiển (như Tab, Enter) vào First Name\n3. Nhấn 'Sign Up'",First Name: '\t\n',Hiển thị biểu tượng lỗi '!' màu đỏ bên phải trường First Name (do rỗng hoặc không hợp lệ),,,Kiểm tra xử lý ký tự điều khiển
TC44,Đăng ký,"Kiểm tra nhấn liên kết 'Terms, Privacy Policy'","1. Mở màn hình đăng ký\n2. Nhấn vào liên kết 'Terms, Privacy Policy'",Không có dữ liệu,"Hiển thị hành động mở liên kết hoặc không có hành động (theo code hiện tại, liên kết chưa được xử lý)",,,Cần xác nhận nếu liên kết có dẫn đến trang web
TC45,Đăng ký,Kiểm tra nhập liệu liên tục vào tất cả các trường,1. Mở màn hình đăng ký\n2. Nhập dữ liệu hợp lệ vào tất cả các trường nhanh chóng\n3. Nhấn 'Sign Up',"First Name: John, Surname: Doe, Day: 1, Month: January, Year: 1990, Gender: Male, Mobile/Email: john@example.com, Password: password123","Hiển thị SnackBar 'Account created successfully!', giao diện không bị lag hoặc crash",,,Kiểm tra hiệu năng nhập liệu nhanh
TC46,Đăng ký,Kiểm tra xoay màn hình khi nhập liệu,1. Mở màn hình đăng ký\n2. Nhập dữ liệu vào các trường\n3. Xoay thiết bị sang ngang/dọc\n4. Quan sát giao diện,"First Name: John, Surname: Doe, Day: 1, Month: January, Year: 1990, Gender: Male, Mobile/Email: john@example.com, Password: password123","Giao diện điều chỉnh đúng, dữ liệu nhập không bị mất, các trường hiển thị đầy đủ",,,
TC47,Đăng ký,Kiểm tra nhập ký tự không hiển thị vào Mobile/Email,1. Mở màn hình đăng ký\n2. Nhập ký tự không hiển thị (zero-width space) vào Mobile/Email\n3. Nhấn 'Sign Up',Mobile/Email: '\u200B',Hiển thị biểu tượng lỗi '!' màu đỏ bên phải trường Mobile/Email (do rỗng hoặc không hợp lệ),,,Kiểm tra xử lý ký tự không hiển thị
TC48,Đăng ký,Kiểm tra nhập chuỗi HTML vào First Name,1. Mở màn hình đăng ký\n2. Nhập chuỗi HTML vào First Name\n3. Nhấn 'Sign Up',First Name: '<script>alert(1)</script>',"Không hiển thị lỗi (theo code hiện tại, không có kiểm tra HTML injection)",,,Cần thêm validation để ngăn HTML/JS injection
TC49,Đăng ký,Kiểm tra bàn phím ảo che khuất trường Password,1. Mở màn hình đăng ký trên thiết bị di động\n2. Nhấn vào trường Password\n3. Quan sát bàn phím ảo,Không có dữ liệu,"Trường Password không bị bàn phím ảo che khuất, người dùng có thể nhập liệu dễ dàng",,,Kiểm tra UX trên thiết bị di động
TC50,Đăng ký,Kiểm tra nhấn liên tục nút 'Already have an account?',1. Mở màn hình đăng ký\n2. Nhấn liên tục vào liên kết 'Already have an account?'\n3. Quan sát hành vi,Không có dữ liệu,"Hiển thị SnackBar 'Redirecting to login...' chỉ một lần, không gây lỗi hoặc crash",,,Kiểm tra xử lý sự kiện lặp
TC51,Đăng ký,Kiểm tra nhập liệu với ký tự emoji vào Surname,1. Mở màn hình đăng ký\n2. Nhập emoji vào Surname\n3. Nhấn 'Sign Up',Surname: 'Doe😊',"Không hiển thị lỗi (theo code hiện tại, không có kiểm tra emoji)",,,Kiểm tra nếu cần thêm validation cho emoji
TC52,Đăng ký,Kiểm tra thoát ứng dụng khi đang nhập liệu,1. Mở màn hình đăng ký\n2. Nhập một phần dữ liệu\n3. Thoát ứng dụng (nhấn nút Back/Home)\n4. Mở lại ứng dụng,"First Name: John, Surname: Doe",Dữ liệu đã nhập được giữ nguyên hoặc form được làm mới (theo thiết kế ứng dụng),,,Cần xác nhận hành vi ứng dụng khi thoát
TC53,Đăng ký,Kiểm tra chọn ngày 29/2 cho năm không nhuận,"1. Mở màn hình đăng ký\n2. Chọn ngày 29, tháng February, năm không nhuận\n3. Nhấn 'Sign Up'","Day: 29, Month: February, Year: 2023","Hiển thị lỗi hoặc không cho phép chọn ngày không hợp lệ (theo code hiện tại, cần kiểm tra logic)",,,Cần xác nhận xử lý ngày không hợp lệ
TC54,Đăng ký,Kiểm tra nhập liệu với tốc độ rất nhanh trên tất cả trường,1. Mở màn hình đăng ký\n2. Nhập dữ liệu vào tất cả các trường với tốc độ rất nhanh\n3. Nhấn 'Sign Up',"First Name: John, Surname: Doe, Day: 1, Month: January, Year: 1990, Gender: Male, Mobile/Email: john@example.com, Password: password123","Hiển thị SnackBar 'Account created successfully!', giao diện không bị lag hoặc crash",,,Kiểm tra hiệu năng nhập liệu nhanh
TC55,Đăng ký,Kiểm tra hiển thị văn bản điều khoản trên màn hình nhỏ,1. Mở màn hình đăng ký trên thiết bị màn hình nhỏ\n2. Quan sát văn bản điều khoản và chính sách,Kích thước màn hình: 320x480,"Văn bản điều khoản hiển thị đầy đủ, không bị cắt xén, liên kết 'Terms, Privacy Policy' hiển thị đúng màu xanh dương",,,
